"","","cofip_sub","cofip_nbr_nbr"
"527",1999,20183,31137
"528",1999,19085,31053
"529",1999,19085,31039
"530",1999,20117,31097
"531",1999,20117,31109
"532",1999,20117,31151
"533",1999,20039,31063
"534",1999,20039,31073
"535",1999,20039,31137
"536",1999,20131,31097
"537",1999,20147,31099
"538",1999,20147,31137
"539",1999,19193,31039
"540",1999,19193,31179
"541",1999,8075,31069
"542",1999,8075,31123
"543",1999,29005,31097
"544",1999,29005,31109
"545",1999,20089,31001
"546",1999,20089,31035
"547",1999,20089,31099
"548",1999,20089,31059
"549",1999,8115,31069
"550",1999,8115,31123
"551",1999,8115,31085
"552",1999,8115,31101
"553",1999,8115,31111
"554",1999,19155,31053
"555",1999,19155,31155
"556",1999,19133,31039
"557",1999,19133,31179
"558",1999,19133,31053
"559",1999,19129,31155
"560",1999,19129,31109
"561",1999,20137,31099
"562",1999,20137,31137
"563",1999,20137,31063
"564",1999,20137,31073
"565",1999,8123,56031
"566",1999,20023,31085
"567",1999,6049,32001
"568",1999,6049,32027
"569",1999,6049,32029
"570",1999,6049,41017
"571",1999,6049,41019
"572",1999,6049,41039
"573",1999,6051,32001
"574",1999,6051,32029
"575",1999,16073,32011
"576",1999,16073,32015
"577",1999,16073,32027
"578",1999,16073,41023
"579",1999,6091,32001
"580",1999,6091,32027
"581",1999,6091,32029
"582",1999,16031,32011
"583",1999,16031,32015
"584",1999,16031,49011
"585",1999,16031,49057
"586",1999,6057,32001
"587",1999,6057,32027
"588",1999,6057,32029
"589",1999,6027,32001
"590",1999,6027,32011
"591",1999,6027,32015
"592",1999,6061,32029
"593",1999,6061,32001
"594",1999,6061,32027
"595",1999,6035,32001
"596",1999,6035,32027
"597",1999,6035,32029
"598",1999,16083,32011
"599",1999,16083,32015
"600",1999,23031,33001
"601",1999,23031,33013
"602",1999,25009,33013
"603",1999,25027,33013
"604",1999,25017,33013
"605",1999,23017,33001
"606",1999,4011,35029
"607",1999,4011,35051
"608",1999,4011,35053
"609",1999,8007,35043
"610",1999,8007,35028
"611",1999,8007,35033
"612",1999,8007,35049
"613",1999,8067,35043
"614",1999,8071,35021
"615",1999,8071,35033
"616",1999,8023,35021
"617",1999,8023,35033
"618",1999,4003,35029
"619",1999,8021,35028
"620",1999,8021,35033
"621",1999,8021,35043
"622",1999,8021,35049
"623",1999,8083,35043
"624",1999,8083,49015
"625",1999,8083,49017
"626",1999,8083,49055
"627",1999,34003,36059
"628",1999,34003,36047
"629",1999,34003,36081
"630",1999,34037,36111
"631",1999,34037,42025
"632",1999,34037,42069
"633",1999,34037,42079
"634",1999,34031,36111
"635",1999,25003,36001
"636",1999,25003,36039
"637",1999,25003,36111
"638",1999,25003,36091
"639",1999,9001,36059
"640",1999,9001,36111
"641",1999,34017,36047
"642",1999,34017,36081
"643",1999,13111,47107
"644",1999,27027,38073
"645",1999,27027,38003
"646",1999,27027,38091
"647",1999,27089,38019
"648",1999,27089,38063
"649",1999,27089,38071
"650",1999,27089,38091
"651",1999,30085,38013
"652",1999,30085,38061
"653",1999,30085,38007
"654",1999,30085,38025
"655",1999,27155,38073
"656",1999,27155,46037
"657",1999,27069,38019
"658",1999,27107,38091
"659",1999,27107,38003
"660",1999,27107,38073
"661",1999,30025,38007
"662",1999,30025,38041
"663",1999,30025,38089
"664",1999,30091,38013
"665",1999,30091,38061
"666",1999,27119,38091
"667",1999,27119,38063
"668",1999,30109,38007
"669",1999,30109,38025
"670",1999,30109,38061
"671",1999,30083,38013
"672",1999,30083,38061
"673",1999,30083,38007
"674",1999,30083,38025
"675",1999,27167,38073
"676",1999,26115,39069
"677",1999,26115,39123
"678",1999,26115,39173
"679",1999,21161,39071
"680",1999,21161,39131
"681",1999,21161,39027
"682",1999,26059,39069
"683",1999,18001,39003
"684",1999,18001,39011
"685",1999,18001,39137
"686",1999,18001,39149
"687",1999,21191,39027
"688",1999,21191,39165
"689",1999,18075,39109
"690",1999,18075,39113
"691",1999,18075,39149
"692",1999,18075,39011
"693",1999,21089,39079
"694",1999,21089,39131
"695",1999,26091,39069
"696",1999,26091,39123
"697",1999,26091,39173
"698",1999,18177,39113
"699",1999,18177,39109
"700",1999,18177,39149
"701",1999,18033,39069
"702",1999,18033,39137
"703",1999,21019,39079
"704",1999,21019,54043
"705",1999,21037,39165
"706",1999,21037,39027
"707",1999,18161,39113
"708",1999,18161,39165
"709",1999,18047,39165
"710",1999,18047,39113
"711",1999,21023,39027
"712",1999,21023,39165
"713",1999,21023,39071
"714",1999,18003,39137
"715",1999,18003,39069
"716",1999,18003,39003
"717",1999,18003,39011
"718",1999,18135,39109
