"","cofip_sub","cofip_nbr_nbr","id"
"759",19155,31053,1915531053
"760",19155,31155,1915531155
"763",19133,31039,1913331039
"764",19133,31179,1913331179
"766",19133,31053,1913331053
"767",19129,31155,1912931155
"768",19129,31109,1912931109
"770",20137,31099,2013731099
"771",20137,31137,2013731137
"772",20137,31063,2013731063
"773",20137,31073,2013731073
"775",8123,56031,812356031
"776",20023,31085,2002331085
"777",6049,32001,604932001
"778",6049,32027,604932027
"779",6049,32029,604932029
"780",6049,41017,604941017
"782",6049,41019,604941019
"783",6049,41039,604941039
"784",6051,32001,605132001
"786",6051,32029,605132029
"787",16073,32011,1607332011
"788",16073,32015,1607332015
"790",16073,32027,1607332027
"791",16073,41023,1607341023
"792",6091,32001,609132001
"793",6091,32027,609132027
"794",6091,32029,609132029
"795",16031,32011,1603132011
"796",16031,32015,1603132015
"797",16031,49011,1603149011
"798",16031,49057,1603149057
"799",6057,32001,605732001
"800",6057,32027,605732027
"801",6057,32029,605732029
"802",6027,32001,602732001
"803",6027,32011,602732011
"804",6027,32015,602732015
"805",6061,32029,606132029
"806",6061,32001,606132001
"807",6061,32027,606132027
"809",6035,32001,603532001
"810",6035,32027,603532027
"811",6035,32029,603532029
"812",16083,32011,1608332011
"813",16083,32015,1608332015
"814",23031,33001,2303133001
"816",23031,33013,2303133013
"818",25009,33013,2500933013
"820",25027,33013,2502733013
"821",25017,33013,2501733013
"822",23017,33001,2301733001
"823",4011,35029,401135029
"825",4011,35051,401135051
"827",4011,35053,401135053
"828",8007,35043,800735043
"829",8007,35028,800735028
"830",8007,35033,800735033
"832",8007,35049,800735049
"833",8067,35043,806735043
"834",8071,35021,807135021
"836",8071,35033,807135033
"837",8023,35021,802335021
"838",8023,35033,802335033
"840",4003,35029,400335029
"841",8021,35028,802135028
"842",8021,35033,802135033
"843",8021,35043,802135043
"844",8021,35049,802135049
"846",8083,35043,808335043
"847",8083,49015,808349015
"848",8083,49017,808349017
"849",8083,49055,808349055
"850",34003,36059,3400336059
"851",34003,36047,3400336047
"852",34003,36081,3400336081
"855",34037,36111,3403736111
"856",34037,42025,3403742025
"857",34037,42069,3403742069
"858",34037,42079,3403742079
"859",34031,36111,3403136111
"860",25003,36001,2500336001
"861",25003,36039,2500336039
"862",25003,36111,2500336111
"866",25003,36091,2500336091
"867",9001,36059,900136059
"868",9001,36111,900136111
"869",34017,36047,3401736047
"870",34017,36081,3401736081
"871",13111,47107,1311147107
"872",27027,38073,2702738073
"873",27027,38003,2702738003
"875",27027,38091,2702738091
"876",27089,38019,2708938019
"877",27089,38063,2708938063
"878",27089,38071,2708938071
"880",27089,38091,2708938091
"882",30085,38013,3008538013
"883",30085,38061,3008538061
"884",30085,38007,3008538007
"885",30085,38025,3008538025
"887",27155,38073,2715538073
"888",27155,46037,2715546037
"889",27069,38019,2706938019
"890",27107,38091,2710738091
"891",27107,38003,2710738003
"892",27107,38073,2710738073
"894",30025,38007,3002538007
"896",30025,38041,3002538041
"897",30025,38089,3002538089
"898",30091,38013,3009138013
"899",30091,38061,3009138061
"901",27119,38091,2711938091
"902",27119,38063,2711938063
"904",30109,38007,3010938007
"905",30109,38025,3010938025
"906",30109,38061,3010938061
"908",30083,38013,3008338013
"909",30083,38061,3008338061
"910",30083,38007,3008338007
"911",30083,38025,3008338025
"913",27167,38073,2716738073
"914",26115,39069,2611539069
"915",26115,39123,2611539123
"916",26115,39173,2611539173
"917",21161,39071,2116139071
"918",21161,39131,2116139131
"919",21161,39027,2116139027
"921",26059,39069,2605939069
"923",18001,39003,1800139003
"924",18001,39011,1800139011
"925",18001,39137,1800139137
"927",18001,39149,1800139149
"928",21191,39027,2119139027
"929",21191,39165,2119139165
"930",18075,39109,1807539109
"931",18075,39113,1807539113
"932",18075,39149,1807539149
"933",18075,39011,1807539011
"935",21089,39079,2108939079
"936",21089,39131,2108939131
"938",26091,39069,2609139069
"940",26091,39123,2609139123
"941",26091,39173,2609139173
"942",18177,39113,1817739113
"943",18177,39109,1817739109
"945",18177,39149,1817739149
"946",18033,39069,1803339069
