cofip_nbr,mean_temp_jan_nbr,mean_sunlight_jan_nbr,mean_sunlight_july_nbr,mean_humidity_july_nbr,top_code_nbr,pct_water_nbr,ln_pct_water_nbr,jan_tmp_z_nbr,jan_sun_z_nbr,jul_temp_z_nbr,jul_hum_z_nbr,top_z_nbr,pct_water_z_nbr,amen_scale_nbr
4019,51.1,260,86.5,28,12,0.03,0.972,1.50886,3.26659,-1.29222,1.91635,0.47368,-1.83629,4.04
4021,50.6,248,91.1,20,11,0.08,2.125,1.46749,2.90528,-2.57213,2.46401,0.32201,-1.22618,3.36
4023,41.4,260,74,28,12,0.04,1.334,0.70642,3.26659,1.23331,1.91635,0.47368,-1.64495,5.95
4025,35.8,230,72.8,31,17,0.06,1.774,0.24315,2.36332,1.07363,1.71098,1.23201,-1.4121,5.21
4027,55.4,266,93.7,23,11,0.19,2.94,1.86458,3.44725,-2.85779,2.25864,0.32201,-0.79472,4.24
5001,40.3,146,80.9,60,1,4.38,6.083,0.61542,-0.16583,-0.71671,-0.27427,-1.19466,0.86897,-0.87
5003,45.4,140,81.2,66,1,1.9,5.245,1.03732,-0.34649,-0.3581,-0.68502,-1.19466,0.42513,-1.12
5005,36.8,150,79,51,19,5.52,6.313,0.32588,-0.0454,-0.50729,0.34184,1.53535,0.99066,2.64
5007,37.3,150,78,57,19,3.82,5.946,0.36724,-0.0454,-0.19535,-0.0689,1.53535,0.79637,2.39
5009,37.2,150,78.5,57,20,1.77,5.175,0.35897,-0.0454,-0.3384,-0.0689,1.68702,0.38827,1.98
5011,44.5,153,82.2,62,4,0.57,4.048,0.96287,0.04493,-0.7045,-0.41119,-0.73966,-0.20808,-1.06
5013,44.3,153,81.8,62,1,0.67,4.21,0.94632,0.04493,-0.61417,-0.41119,-1.19466,-0.12262,-1.35
5015,37.6,150,78.5,57,19,1.33,4.89,0.39206,-0.0454,-0.30395,-0.0689,1.53535,0.23745,1.75
5017,45.4,140,81.2,66,1,6.78,6.519,1.03732,-0.34649,-0.3581,-0.68502,-1.19466,1.09999,-0.45
5019,42.9,153,81.6,62,15,1.95,5.271,0.83051,0.04493,-0.68098,-0.41119,0.92868,0.43888,1.15
5021,37.7,141,80.4,61,4,0.33,3.498,0.40033,-0.31638,-0.80621,-0.34273,-0.73966,-0.4994,-2.3
5023,37.3,150,78.5,51,14,6.56,6.487,0.36724,-0.0454,-0.32979,0.34184,0.77701,1.08274,2.19
5025,44.3,153,81.8,62,4,0.18,2.902,0.94632,0.04493,-0.61417,-0.41119,-0.73966,-0.81513,-1.59
5027,45.7,153,81.6,62,4,0.1,2.28,1.06214,0.04493,-0.43981,-0.41119,-0.73966,-1.144,-1.63
5029,40.7,143,81.7,61,9,1.85,5.221,0.64851,-0.25616,-0.89736,-0.34273,0.01867,0.41261,-0.42
5031,39.5,141,81.2,61,4,0.31,3.443,0.54924,-0.31638,-0.86627,-0.34273,-0.73966,-0.52861,-2.24
5033,39,150,82.2,51,19,1.45,4.974,0.50788,-0.0454,-1.17822,0.34184,1.53535,0.28206,1.44
5035,40.5,146,81.6,60,1,4.12,6.021,0.63196,-0.16583,-0.88769,-0.27427,-1.19466,0.83628,-1.05
5037,40.8,146,80.4,60,4,1.04,4.646,0.65678,-0.16583,-0.5392,-0.27427,-0.73966,0.10803,-0.95
5039,44.3,153,81.8,62,4,0.11,2.405,0.94632,0.04493,-0.61417,-0.41119,-0.73966,-1.07816,-1.85
5041,43.7,140,82.3,66,1,6.65,6.5,0.89669,-0.34649,-0.80029,-0.68502,-1.19466,1.08985,-1.04
5043,43.9,140,80.9,66,4,0.89,4.493,0.91323,-0.34649,-0.40663,-0.68502,-0.73966,0.02727,-1.24
5045,41.4,143,81.5,61,9,2.51,5.527,0.70642,-0.25616,-0.78329,-0.34273,0.01867,0.57453,-0.08
5047,40.2,150,81.5,51,20,1.63,5.097,0.60715,-0.0454,-0.88665,0.34184,1.68702,0.34679,2.05
5049,36.6,150,78.5,51,14,0.34,3.536,0.30933,-0.0454,-0.39008,0.34184,0.77701,-0.47919,0.51
5051,43.1,143,82.3,61,16,7.7,6.646,0.84705,-0.25616,-0.85197,-0.34273,1.08035,1.16713,1.64
5053,42.5,143,80.6,61,4,0.19,2.967,0.79742,-0.25616,-0.44655,-0.34273,-0.73966,-0.78059,-1.77
5055,38.5,141,80,61,4,0.37,3.609,0.46651,-0.31638,-0.62975,-0.34273,-0.73966,-0.44082,-2
5057,42.2,153,81.4,62,4,1.7,5.133,0.7726,0.04493,-0.6875,-0.41119,-0.73966,0.36612,-0.65
5059,43.1,143,82.3,61,15,1.16,4.755,0.84705,-0.25616,-0.85197,-0.34273,0.92868,0.16615,0.49
