FIPS Code,Rural-urban_continuum,urban_influence,mean_temp_jan,mean_sunlight_jan,mean_sunlight_july,mean_humidity_july,top_code,pct_water,ln_pct_water,jan_tmp_z,jan_sun_z,jul_temp_z,jul_hum_z,top_z,pct_water_z,amen_scale
08031,0 ,1 ,29.9 ,214 ,73.0 ,36 ,4 ,1.03 ,4.638 ,-0.24493 ,1.88158 ,0.51168 ,1.36870 ,-0.73966 ,0.10389,2.88 
08033,9 ,9 ,23.0 ,180 ,68.2 ,21 ,21 ,0.11 ,2.359 ,-0.81573 ,0.85787 ,1.20800 ,2.39555 ,1.83868 ,-1.10238,4.38 
08035,1 ,1 ,27.5 ,214 ,70.3 ,36 ,21 ,0.31 ,3.444 ,-0.44347 ,1.88158 ,1.03094 ,1.36870 ,1.83868 ,-0.52778,5.15 
08037,7 ,8 ,18.0 ,180 ,65.9 ,21 ,21 ,0.23 ,3.145 ,-1.22936 ,0.85787 ,1.39577 ,2.39555 ,1.83868 ,-0.68605,4.57 
08039,8 ,4 ,27.5 ,214 ,70.3 ,36 ,5 ,0.01 ,0.000 ,-0.44347 ,1.88158 ,1.03094 ,1.36870 ,-0.58800 ,-2.35103,0.90 
08041,2 ,2 ,28.6 ,223 ,70.7 ,35 ,21 ,0.14 ,2.652 ,-0.35247 ,2.15256 ,1.01813 ,1.43715 ,1.83868 ,-0.94729,5.15 
08043,6 ,5 ,36.7 ,223 ,75.5 ,35 ,21 ,0.07 ,1.894 ,0.31761 ,2.15256 ,0.42517 ,1.43715 ,1.83868 ,-1.34821,4.82 
08045,7 ,8 ,23.2 ,180 ,70.2 ,21 ,17 ,0.29 ,3.369 ,-0.79919 ,0.85787 ,0.68747 ,2.39555 ,1.23201 ,-0.56751,3.81 
08047,8 ,4 ,26.8 ,214 ,62.7 ,36 ,21 ,0.26 ,3.256 ,-0.50138 ,1.88158 ,3.01413 ,1.36870 ,1.83868 ,-0.6273,6.97 
08049,9 ,9 ,14.8 ,180 ,56.1 ,21 ,21 ,1.07 ,4.670 ,-1.49408 ,0.85787 ,3.75517 ,2.39555 ,1.83868 ,0.12075,7.47 
08051,7 ,8 ,10.6 ,180 ,61.9 ,21 ,21 ,0.64 ,4.162 ,-1.84153 ,0.85787 ,1.83392 ,2.39555 ,1.83868 ,-0.14788,4.94 
