year,cofip_sub,cofip_nbr
1999,6051,32005
1999,6003,32005
1999,6091,32031
1999,16031,32007
1999,6057,32031
1999,6027,32023
1999,6027,32003
1999,6027,32009
1999,6061,32510
1999,4015,32003
1999,16073,32013
1999,6051,32021
1999,6061,32031
1999,6017,32005
1999,6035,32031
1999,6051,32019
1999,16083,32007
1999,6061,32005
1999,23031,33003
1999,25009,33015
1999,25027,33011
1999,23031,33017
1999,25017,33011
1999,25027,33005
1999,23017,33003
1999,23031,33015
1999,25009,33011
1999,23017,33007
1999,25011,33005
1999,10003,34033
1999,10003,34015
1999,10003,34033
1999,4001,35031
1999,4011,35023
1999,8007,35045
1999,4011,35017
1999,8067,35045
1999,8071,35059
1999,8023,35007
1999,4011,35003
1999,8071,35007
1999,4003,35023
1999,8021,35039
1999,8023,35055
1999,4001,35003
1999,8009,35059
1999,8007,35039
1999,4001,35006
1999,4001,35045
1999,8083,35045
1999,8021,35055
1999,34003,36119
1999,34003,36061
1999,34037,36071
1999,34031,36071
1999,25003,36021
1999,25003,36027
1999,34031,36087
1999,9001,36079
1999,34017,36061
1999,34003,36005
1999,9001,36119
1999,25003,36083
1999,9005,36027
1999,9001,36027
1999,34003,36087
1999,13241,37113
1999,13241,37099
1999,13291,37043
1999,13241,37043
1999,13111,37039
1999,13291,37039
1999,13281,37043
1999,27027,38077
1999,27089,38099
1999,30085,38105
1999,27027,38017
1999,27089,38035
1999,27155,38077
1999,27069,38067
1999,27107,38097
1999,30025,38033
1999,30025,38087
1999,30091,38105
1999,27107,38017
1999,27119,38097
1999,30109,38053
1999,30083,38105
1999,30109,38033
1999,27167,38077
1999,27119,38035
1999,30083,38053
1999,27089,38067
1999,30025,38011
1999,30085,38053
1999,30091,38023
1999,26115,39095
1999,21161,39001
1999,26059,39171
1999,18001,39161
1999,26059,39051
1999,21191,39025
1999,18075,39037
1999,21089,39145
1999,26091,39051
1999,18177,39135
1999,18033,39171
1999,21019,39087
1999,21037,39061
1999,18029,39017
1999,18161,39017
1999,21089,39087
1999,18075,39107
1999,18047,39061
1999,18161,39135
1999,18151,39171
1999,21037,39025
1999,21023,39025
1999,21023,39015
1999,18003,39125
1999,18135,39037
1999,21161,39015
1999,21015,39061
1999,21117,39061
1999,21135,39145
1999,18177,39037
1999,21135,39001
1999,18047,39017
1999,18001,39107
1999,18003,39039
1999,18033,39039
1999,18029,39061
1999,26091,39095
1999,18003,39161
1999,5033,40135
1999,20191,40053
1999,5127,40079
1999,20007,40003
1999,20129,40139
1999,20119,40007
1999,5033,40001
1999,20025,40007
1999,20099,40035
1999,20021,40035
1999,20007,40151
1999,20025,40059
1999,20129,40025
1999,5007,40001
1999,20077,40003
1999,20125,40105
1999,20175,40139
1999,20035,40113
1999,35059,40025
1999,5113,40079
1999,20035,40071
1999,20175,40007
1999,20099,40105
1999,20077,40053
1999,5081,40089
1999,5113,40089
1999,20021,40115
1999,5007,40041
1999,20125,40147
1999,5133,40089
1999,20033,40059
1999,5131,40135
1999,8009,40025
1999,29119,40115
1999,20019,40113
1999,5143,40001
1999,29145,40115
1999,29119,40041
1999,20033,40151
1999,20019,40147
1999,20189,40139
1999,20191,40071
1999,5131,40079
1999,32031,41037
1999,6093,41035
1999,6015,41033
1999,16049,41063
1999,32031,41025
1999,6049,41037
1999,16087,41045
1999,16087,41001
1999,32013,41025
1999,6093,41033
1999,16003,41063
1999,16069,41063
1999,6015,41015
1999,6093,41029
1999,16075,41045
1999,16003,41001
1999,16073,41045
1999,6049,41035
1999,32013,41045
1999,16027,41045
1999,34041,42017
1999,24021,42001
1999,36025,42127
1999,34037,42103
1999,24025,42071
1999,24001,42009
1999,34015,42045
1999,36007,42115
1999,36107,42115
1999,24001,42111
1999,24013,42133
1999,36105,42127
1999,34037,42089
1999,39007,42049
1999,36013,42123
1999,36015,42015
1999,39099,42073
1999,39029,42007
1999,24015,42029
1999,24023,42111
1999,36003,42083
1999,24043,42057
1999,36009,42123
1999,34041,42089
1999,34021,42017
1999,39029,42073
1999,24021,42055
1999,36007,42127
1999,39155,42085
1999,34019,42017
1999,39007,42039
1999,36015,42117
1999,24043,42055
1999,39099,42085
1999,10003,42029
1999,36071,42103
1999,10003,42045
1999,24005,42133
1999,36009,42083
1999,34005,42101
1999,39155,42039
1999,36107,42015
1999,34005,42017
1999,24015,42071
1999,10003,42029
1999,36105,42103
1999,34015,42101
1999,36101,42117
1999,34007,42101
1999,36003,42105
1999,36101,42105
1999,34041,42095
1999,24001,42057
1999,24023,42051
1999,36013,42049
1999,24013,42001
1999,24025,42133
1999,25027,44007
1999,25021,44007
1999,25005,44001
1999,9015,44003
1999,25005,44007
1999,25005,44005
1999,9011,44009
1999,9011,44003
1999,9015,44007
1999,37161,45021
1999,37155,45033
1999,37155,45069
1999,37089,45045
1999,37175,45073
1999,13033,45003
1999,13137,45073
1999,13051,45053
1999,13241,45073
1999,37153,45069
1999,37045,45021
1999,37149,45083
1999,13119,45073
1999,37179,45057
1999,13181,45065
1999,37175,45045
1999,37155,45051
1999,13251,45005
1999,13073,45037
1999,13147,45073
1999,37119,45091
1999,13103,45053
1999,13245,45037
1999,13251,45049
1999,37007,45069
1999,37175,45077
1999,13257,45073
1999,37045,45091
1999,13245,45003
1999,37149,45045
1999,37153,45025
1999,37007,45025
1999,13105,45001
1999,37161,45083
1999,37119,45057
1999,37019,45051
1999,13033,45005
1999,13103,45049
1999,13105,45065
1999,13147,45007
1999,13033,45011
1999,13073,45065
1999,37099,45073
1999,37047,45051
1999,37165,45069
1999,13105,45007
1999,37113,45073
1999,37047,45033
1999,37071,45091
1999,37179,45025
1999,38051,46021
1999,31031,46113
1999,27133,46101
1999,27117,46101
1999,27073,46051
1999,27073,46039
1999,38081,46013
1999,27081,46101
1999,19193,46127
1999,30025,46063
1999,31031,46121
1999,38001,46105
1999,31043,46127
1999,31027,46027
1999,31051,46027
1999,31107,46009
1999,31107,46023
1999,31015,46023
1999,38001,46031
1999,38085,46031
1999,38029,46031
1999,31031,46123
1999,27081,46039
1999,38021,46013
1999,38021,46089
1999,30011,46019
1999,31027,46135
1999,38081,46109
1999,31103,46053
1999,38077,46091
1999,27011,46051
1999,38077,46109
1999,27117,46011
1999,19119,46083
1999,31045,46113
1999,38011,46063
1999,27073,46051
1999,19119,46099
1999,31103,46123
1999,31051,46127
1999,27081,46011
1999,31107,46135
1999,27133,46099
1999,19149,46127
1999,31031,46007
1999,38029,46021
1999,19167,46127
1999,31165,46047
1999,31015,46053
1999,31161,46113
1999,19167,46083
1999,31045,46047
1999,27155,46109
1999,38081,46091
1999,27117,46099
1999,38051,46089
1999,27011,46109
1999,38001,46063
1999,30011,46063
1999,27173,46039
1999,31103,46121
1999,5035,47167
1999,1071,47051
1999,21075,47131
1999,28003,47071
1999,1077,47181
1999,28003,47069
1999,37011,47091
1999,37011,47019
1999,37115,47171
1999,1089,47103
1999,28033,47157
1999,37039,47123
1999,5093,47097
1999,21171,47111
1999,1083,47103
1999,37009,47091
1999,21219,47125
1999,21075,47095
1999,37173,47009
1999,21105,47183
1999,28141,47071
1999,21147,47013
1999,28003,47109
1999,37199,47171
1999,21035,47161
1999,37115,47029
1999,21083,47079
1999,37075,47123
1999,21047,47125
